,text_surronding,Gender
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101401,"Toutes les boîtes posées sur ses genoux , visiblement épuisée",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101407,"genoux , visiblement épuisée , Pauline semblait disparaître presque dans",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101415,presque dans le fond de sa poussette . D' une,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101427,"lente et très calme , elle s' est mise à",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101437,expliquer longuement la nature de ses achats et la manière,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101443,achats et la manière dont elle s' occupait bien de,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101448,elle s' occupait bien de son petit bébé cobaye .,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101465,Il était inconcevable maintenant que Pauline puisse monter les deux,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101475,étages à pied . Je l' ai portée . Elle,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101479,Je l' ai portée . Elle était légère autant que,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101500,sortir de la crèche . Pauline a versé dans la,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101514,céréales que Wendy préférait . Elle a émietté pour elle,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101518,. Elle a émietté pour elle un biscuit aux œufs,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101536,Les graines ruisselaient autour d' elle . De ses pattes,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101539,"autour d' elle . De ses pattes griffues , elle",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101543,"De ses pattes griffues , elle triait et portait à",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101546,"griffues , elle triait et portait à sa bouche les",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101548,elle triait et portait à sa bouche les morceaux qu',Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101553,sa bouche les morceaux qu' elle préférait . Lorsque le,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101562,"le festin fut fini , elle se laissa prendre et",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101567,elle se laissa prendre et accompagna Pauline jusqu' au canapé,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101568,se laissa prendre et accompagna Pauline jusqu' au canapé bleu,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101647,. La chambre attribuée à Pauline comptait deux lits .,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101678,pourrait rester dormir auprès de l' enfant . Nous ne,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101733,soixante - dix ans . Pauline était la seule enfant,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101735,dix ans . Pauline était la seule enfant . Bien,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101742,"enfant . Bien naturellement , elle suscitait l' affection des",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101802,ils avaient tout fait pour la guérir . Mais nous,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101824,les gagnaient . Ils voyaient Pauline glisser vers la mort,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101834,comme ils avaient vu avant elle tant d' autres enfants,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101881,s' occupaient plus spécialement de Pauline . Ils devaient être,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101909,", l' espoir de sauver l' enfant n' avait pas",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101968,à cœur le sort de Pauline . Le chirurgien était,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101980,"émouvante sollicitude au chevet de l' enfant , d' une",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102097,", je crois également que Pauline , en ces dernières",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102114,de douceur sur ceux qui la découvraient . Elle était,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102117,"ceux qui la découvraient . Elle était faible , épuisée",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102124,"faible , épuisée , mais elle ne ressemblait pas à",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102142,douleur n' opérait pas sur elle de manière ordinaire .,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102147,elle de manière ordinaire . Elle ne la crispait pas,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102149,"manière ordinaire . Elle ne la crispait pas , ne",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102154,"la crispait pas , ne la rétractait pas . Elle",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102158,ne la rétractait pas . Elle l' ouvrait à la,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102159,la rétractait pas . Elle l' ouvrait à la façon,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102173,et délicate . La maladie l' avait rendue diaphane mais,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102178,l' avait rendue diaphane mais elle n' avait rien effacé,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102184,n' avait rien effacé de sa personnalité de tendresse .,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102189,sa personnalité de tendresse . Elle ne cessait pas d',Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102216,à chacun l' amour qui lui était offert . La,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102223,offert . La fin d' une telle enfant semblait proprement,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_102296,". Rapportée au corps de l' enfant , la lésion",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21243,"fillette depuis longtemps disparue . Pauline se réveille , la",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21329,de forcer leur silence . Pauline l' a compris .,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21390,autre ? Sans qu' on lui ait jamais rien expliqué,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21396,"ait jamais rien expliqué , Pauline a tout compris de",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21408,et rigide hiérarchie médicale . Elle distingue docteurs et internes,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21420,", chirurgiens et oncologues . Elle ne confond pas infirmières",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21437,", dames de service . Elle sait de qui elle",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21441,". Elle sait de qui elle dépend , qui s'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21448,", qui s' occupera d' elle , à qui elle",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21452,"d' elle , à qui elle doit réserver les plus",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21459,réserver les plus efficaces de ses sourires de séductrice .,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21485,afin que ce soit à son chevet que la nuit,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21492,"que la nuit , pour la consoler et la distraire",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21495,", pour la consoler et la distraire , s' attardent",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21508,"des infirmières . Que sait - elle , dans son",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21512,"sait - elle , dans son cerveau d' enfant ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21539,de l' extraordinaire fatigue dont elle ne s' est pas,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21547,"est pas encore délivrée , elle ne manifeste absolument aucun",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21555,absolument aucun signe dépressif . Elle est vivante et charmante,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21565,", attentive aux autres . Elle note mentalement leur tendresse",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21577,indifférence . La maladie même la transforme de façon inattendue,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21583,transforme de façon inattendue . Elle abandonne un peu de,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21588,Elle abandonne un peu de sa timidité de petite fille,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21601,"cet univers de chagrin , elle gagne en assurance ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21618,#NAME?,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21620,"déguise - t - elle sa panique en audace ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21625,"sa panique en audace , son désespoir en allégresse .",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21636,"- être imite - t - elle ses parents ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21638,"imite - t - elle ses parents , peut -",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21656,"qu' ils lisent , sans la reconnaître , sur ses",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21660,"sans la reconnaître , sur ses traits . Son courage",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21663,", sur ses traits . Son courage rend possible leur",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21672,"leur courage et , à son tour , se nourrit",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21678,"tour , se nourrit de lui . Dans la grande",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21687,"grande désolation du mal , elle ne les abandonne pas",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21695,abandonne pas et eux ne l' abandonnent pas . C',Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21779,garantir définitivement leur tranquillité . Pauline peut compter sur eux,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21789,"et ils peuvent compter sur elle , sage et gaie",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21802,"à l' horreur nouvelle de sa vie , sans pleurs",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21821,destin . Peut - être Pauline a - t -,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21825,être Pauline a - t - elle fait secrètement le,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21846,"filles afin de mieux rendre sa mort improbable , impossible",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21857,Être aimée de manière que la protège du malheur toute,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21868,somme d' affection autour d' elle . Les médecins l',Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21872,"d' elle . Les médecins l' impressionnent un peu ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21877,"l' impressionnent un peu , elle s' emploie à conquérir",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21902,". Avec les infirmières , elle joue son rôle aimable",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21904,"les infirmières , elle joue son rôle aimable de gentille",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21914,"et discrète princesse , sur ses gardes pourtant . Elle",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21918,sur ses gardes pourtant . Elle réserve en conséquence l',Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_21925,en conséquence l' essentiel de sa tendresse à d' autres,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22017,. Elle considère sa fille qui grandit et qui change,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22020,"sa fille qui grandit et qui change , si proche",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22028,"si proche d' elle , qui lui ressemble , qui",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22032,", qui lui ressemble , qui prend sur elle modèle",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22050,de tout ce qui concerne son traitement . Elle est,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22053,qui concerne son traitement . Elle est d' une grande,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22075,", demandant à participer : elle aide au pansement de",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22082,"au pansement de cathéter , répète sur ses poupées les",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22084,"de cathéter , répète sur ses poupées les soins ,",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22089,"ses poupées les soins , emprunte un stéthoscope pour s'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22099,assurer du battement régulier de son cœur . Elle et,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22102,régulier de son cœur . Elle et Maman exercent une,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22230,"administre , elle soigne . Pauline veut savoir ce qu'",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22236,veut savoir ce qu' on lui fait . Elle interroge,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22239,"qu' on lui fait . Elle interroge , se fait",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22242,"fait . Elle interroge , se fait expliquer , conteste",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22246,", se fait expliquer , conteste parfois . Mais sur",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22254,"Mais sur l' essentiel , elle ne dit jamais rien",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22260,"ne dit jamais rien . Elle voit , puis ce",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22266,"voit , puis ce qu' elle voit , elle le",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22269,"ce qu' elle voit , elle le met entre parenthèses",Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22280,n' en parle pas . Elle prend comme une étrange,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22291,l' univers menaçant dans lequel elle est entrée . Elle,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22295,lequel elle est entrée . Elle épargne à ceux qui,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22300,Elle épargne à ceux qui l' entourent l' expression de,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22305,l' entourent l' expression de ses craintes . Elle voit,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22308,expression de ses craintes . Elle voit des enfants dont,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22387,le visage invraisemblablement déformé . Pauline voit tout cela mais,Female
Forest-Philippe_L-Enfant-eternel_<Pauline-1065>_22392,Pauline voit tout cela mais elle ne dit rien .,Female
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76106,"» . Il veut que vous fondiez en larmes ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76112,"fondiez en larmes , que vous l' embrassiez . Pourtant",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76118,"l' embrassiez . Pourtant , vous n' êtes pas dans",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76126,pas dans la tragédie . Vous êtes dans la vie,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76138,sont les autres qui nomment votre vie : tragédie .,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76146,tragédie . Le désastre que vous vivez est au -,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76208,"tendresse , de baisers . Vous prenez désormais les événements",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76218,tels qu' ils viennent . Vous êtes au bord d',Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76227,"d' un gouffre immonde mais vous pouvez encore aimer ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76240,"la tête au soleil , vous passez auprès de l'",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76252,"merveilleuses journées de bonheur . Vous badinez , vous plaisantez",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76255,"bonheur . Vous badinez , vous plaisantez , vous vous",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76258,"badinez , vous plaisantez , vous vous amusez ensemble .",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76265,"amusez ensemble . Visiblement , vous n' avez guère le",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76272,"avez guère le souci de votre personnage , de sa",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76296,", pour un peu , vous rappelleraient au sérieux de",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76301,vous rappelleraient au sérieux de votre rôle . Dans les,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76321,Ils tombent d' accord : vous n' êtes pas à,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76348,"choses prennent cette tournure , vous allez tout gâcher ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76353,"vous allez tout gâcher , vous allez les priver des",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76364,"qu' ils méritent plus que vous , vous allez saboter",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76366,"méritent plus que vous , vous allez saboter leur monologue",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76382,scène . Des acteurs fardés vous entraînent avec eux .,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76390,eux . Ils exigent que vous leur donniez la réplique,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76397,"donniez la réplique , que vous mettiez un peu plus",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76405,"peu plus de conviction dans votre diction , que votre",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76409,"dans votre diction , que votre voix résonne en accents",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76419,"graves jusqu' au balcon . Vous ouvrez la bouche ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76424,"Vous ouvrez la bouche , vous levez le bras ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76435,les nobles plis pourpres de votre costume . Vous vous,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76438,pourpres de votre costume . Vous vous entendez un peu,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76447,peu surpris . Voilà que vous parlez malgré vous en,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76450,"Voilà que vous parlez malgré vous en hexamètres , en",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76457,"hexamètres , en alexandrins . Vous vous étiez endormi dans",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76464,"étiez endormi dans Molière , vous vous réveillez chez Racine",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76474,. Le souffleur résume à votre intention l' argument de,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76513,attend leurs membres dépecés . Vous êtes Agamemnon ou Jason,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76519,êtes Agamemnon ou Jason . Vous levez les yeux au,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76526,les yeux au ciel . Vous implorez les dieux .,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76531,Vous implorez les dieux . Vous maudissez le jour qui,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76536,Vous maudissez le jour qui vous a vu naître et,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76544,naître et le ventre qui vous a porté . De,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76555,larmes roulent le long de vos joues et votre maquillage,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76558,long de vos joues et votre maquillage fait de longues,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76567,longues traînées de cendre sous vos yeux . Allons bon,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76573,"yeux . Allons bon ! Vous vous imaginiez Figaro ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76578,"Vous vous imaginiez Figaro , vous rêviez de bonheur et",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76583,vous rêviez de bonheur et votre couvert a été mis,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76597,Atrides . Toute la mythologie vous tombe dessus . On,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76604,"dessus . On veut que vous fassiez l' Orphée ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76610,"fassiez l' Orphée , que vous descendiez aux Enfers ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76625,"de la douceur musicale de vos soupirs , et qu'",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76635,"enfin les Ménades se disputent votre peau , que le",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76643,que le rideau tombe sur votre tête chantante . Mais,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76654,rideau ne tombe pas . Faites un effort ! La,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76675,"siffler . Bientôt , on vous hue . Vos partenaires",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76678,", on vous hue . Vos partenaires vous abandonnent .",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76680,vous hue . Vos partenaires vous abandonnent . Ils en,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76719,de sang . Qu' attendez - vous donc pour prononcer,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76783,répondeur ne clignote plus . Vos coordonnées étaient écrites à,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76804,"s' est doucement effacée . Vous êtes illisible , oublié",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76847,"Passé un certain seuil , vous vous retrouvez absolument seuls",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76861,". Et après tout , vous êtes enfin tranquilles ,",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76866,"vous êtes enfin tranquilles , vous pensez que c' est",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76874,c' est mieux ainsi . Vous entendez autour de vous,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76878,. Vous entendez autour de vous un long bourdonnement de,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76906,il bien raisonnable ? Avez - vous des nouvelles récentes,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76919,ose plus appeler . Savez - vous si elle vit,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76946,en tenir ! Lorsqu' ils vous croisent par hasard dans,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_76963,ou professionnelle les force à vous adresser malgré tout la,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77060,"ne pas en avoir , vous voilà bien puni d'",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77068,"puni d' avoir procréé , vous n' avez après tout",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77076,"après tout que ce que vous méritez , de quoi",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77081,"vous méritez , de quoi vous plaignez - vous ?",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77112,"génétique ? – Non , je ne pense pas .",Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77231,exactement le même âge que votre fille . Je sais,Neutral
Forest-Philippe_L-Enfant-eternel_<vous-3842>_77240,sais très précisément ce que vous ressentez . . .,Neutral
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37002,Pour rien ni personne sinon celui qui s' obstine à,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37003,rien ni personne sinon celui qui s' obstine à retrouver,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37014,mots de ce qui fut sa vie . Le roman,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37029,"beau , l' éternel ? Il réplique ainsi à la",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37131,survie est un rêve . Je trace dans le bois,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37149,doigts sur le signe que je laisse . Mais il,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37158,il ne saura rien de moi . Je ne serai,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37160,saura rien de moi . Je ne serai plus .,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37165,Je ne serai plus . J' aurai été . Tous,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37180,futur antérieur et disent : j' aurai été . Sous,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37207,mienne et cette autre . Je me serai tenu un,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37220,ombre avaleuse de chair et j' aurai passé ma main,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37223,chair et j' aurai passé ma main sur ce corps,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37237,", sur ce front . Mes yeux auront vu ces",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37250,ils ne se ferment . Ma voix aura dit ces,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37261,vibrant dans le vide . J' écris avec modestie et,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37320,ou l' argile . 3 Je n' aurais jamais écrit,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37326,n' aurais jamais écrit . Je ne rêvais pas de,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37342,. Auteur ? Non . J' aimais des textes célèbres,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37350,"textes célèbres ou singuliers , j' éprouvais le sentiment banal",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37357,"le sentiment banal qu' ils me parlaient à moi ,",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37360,"qu' ils me parlaient à moi , que ma vie",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37363,"parlaient à moi , que ma vie était tissée de",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37374,"signes , que depuis toujours je respirais à l' intérieur",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37383,intérieur de leurs pages . Je me laissais aller à,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37419,les autres en écho . Je me penchais sur ce,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37429,puits blanc de mots et je voyais ce que d',Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37440,"n' avaient pas vu , j' entendais ce qu' ils",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37453,"entendu . Du moins , je le croyais . Dans",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37473,d' injures et de compliments me suivait depuis mes premiers,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37476,de compliments me suivait depuis mes premiers livres . Parfois,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37494,"en secret écrivain , on me demandait : Quand publiez",Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37499,me demandait : Quand publiez - vous votre premier roman,Male
Forest-Philippe_L-Enfant-eternel_<celui-1758>_37501,: Quand publiez - vous votre premier roman ? Mais,Male
